State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
OK,57,408,-2459,no,yes,25,-0.054629824616850405,94,30.06,-0.11794107597976124,75,16.58,213.5,116,9.61,-0.6940171110522204,-0.19483061312694844,2.24,-1.1882184955849595,False
GA,72,415,-1045,no,yes,37,0.7386243177138785,80,37.4,0.32184703986943863,102,18.47,152.8,71,6.88,1.5987222105022414,0.6178983400046149,3.97,1.092640927980794,False
AK,36,408,-9423,no,yes,30,-0.6146819389938698,128,24.87,-0.7588878815895814,80,13.81,129.3,109,5.82,1.5270741067036646,0.6178983400046149,3.92,-1.1882184955849595,False
MA,78,415,-2952,no,no,0,-0.8992985872838304,64,22.24,0.44806425697414126,116,19.01,227.8,108,10.25,-0.08500822876431662,0.2115338634388332,2.7,-0.4279320210630416,False
AK,136,415,-979,yes,yes,33,0.4429902507804355,106,34.66,-0.26387973325707426,99,15.95,101.7,107,4.58,0.09411203073212573,0.6178983400046149,2.84,1.092640927980794,False
NJ,149,408,-9559,no,no,0,-0.723019888988113,94,23.87,1.3966655292766754,92,23.1,188.3,108,8.47,0.30905634212785643,1.8369917697019598,3.0,-0.4279320210630416,False
GA,98,408,-9604,no,no,0,-0.9819292271099482,102,21.47,-0.6740856888473588,85,14.18,187.8,135,8.45,-0.29995254016004735,-1.0075595662585117,2.54,1.092640927980794,False
AR,34,510,-6936,no,no,0,-1.0094727737186542,82,21.22,1.6017685070718175,98,23.99,311.5,78,14.02,-0.08500822876431662,-0.19483061312694844,2.7,0.3323544534588762,False
ID,160,415,-6884,no,no,0,-1.7256049855450069,77,14.59,-0.7036678491062736,110,14.05,178.5,92,8.03,-0.37160064395862463,-0.19483061312694844,2.48,1.092640927980794,False
WI,64,510,-885,no,no,0,-0.4732917330691798,67,26.18,0.4894792813366224,118,19.19,265.3,86,11.94,-2.413571602218067,-0.6011950896927301,0.95,-0.4279320210630416,False
OR,59,408,-2708,no,yes,28,-1.0810859949012892,97,20.55,0.23704484712721607,92,18.11,163.1,116,7.34,-0.6223690072536437,0.2115338634388332,2.3,0.3323544534588762,False
MI,65,415,-5087,no,no,0,0.5788717473833846,120,35.92,-0.7569157375723206,122,13.82,134.7,118,6.06,1.0613614320129143,0.2115338634388332,3.56,1.092640927980794,False
DE,142,408,-1631,no,no,0,0.1326662923223493,133,31.79,-1.3091160624053964,74,11.44,242.2,127,10.9,-1.0164335781458167,0.2115338634388332,2.0,0.3323544534588762,False
ID,119,415,-896,no,no,0,-0.37964367459958,114,27.05,0.5979472022859765,117,19.66,143.2,91,6.44,-0.514896851555778,-0.6011950896927301,2.38,2.61321387702463,True
WY,97,415,-6741,no,yes,24,-0.8552289127099014,135,22.64,0.3198748958521772,58,18.46,70.6,79,3.18,0.2732322902285681,-0.6011950896927301,2.97,-0.4279320210630416,False
IA,52,408,-4544,no,no,0,0.22264187791078857,108,32.62,1.3572226489314558,96,22.93,236.8,87,10.66,-0.873137370548663,0.2115338634388332,2.11,1.092640927980794,False
IN,60,408,-5225,no,no,0,0.7496417363573606,57,37.5,0.19957411079925724,115,17.94,249.0,129,11.21,-1.2313778895415477,-0.6011950896927301,1.84,-0.4279320210630416,False
VA,10,408,-4047,no,no,0,0.11614016435712568,112,31.64,-0.21260398880828874,66,16.17,282.8,57,12.73,0.4165284978257221,0.6178983400046149,3.08,0.3323544534588762,False
UT,96,415,-2807,no,no,0,-0.3594450737531958,117,27.23,1.311863336534453,67,22.74,228.5,68,10.28,-0.3357765920593357,0.2115338634388332,2.51,0.3323544534588762,False
WY,87,415,-3406,no,no,0,-0.5283788262865916,83,25.67,0.36917849628370186,116,18.67,203.9,127,9.18,-0.1924803844621823,-0.6011950896927301,2.62,2.61321387702463,True
IN,81,408,-5584,no,no,0,-0.0785008983443957,67,29.84,0.9529331253929538,85,21.19,270.2,98,12.16,-0.013360124965739932,-0.6011950896927301,2.75,-0.4279320210630416,False
CO,141,415,-4781,no,no,0,-0.9709118084664657,98,21.57,-0.41376267856890897,62,15.3,140.8,128,6.34,-0.801489266750086,-1.0075595662585117,2.16,-0.4279320210630416,False
CO,121,408,-7204,no,yes,30,0.34199724654851404,129,33.73,-2.4785974646411604,77,6.4,181.2,77,8.15,-1.5896184085344325,-0.6011950896927301,1.57,1.092640927980794,True
WI,68,415,-9330,no,no,0,-0.56877602797936,70,25.3,0.8977130929096461,164,20.95,129.8,103,5.84,0.6672968611207412,-0.6011950896927301,3.27,1.092640927980794,False
OK,125,408,-6896,no,no,0,0.909394306687855,103,38.98,-0.4650384230176945,126,15.08,189.3,95,8.52,0.6314728092214528,1.430627293136178,3.24,-0.4279320210630416,False
ID,174,408,-5534,no,no,0,0.22631435079194917,97,32.66,-0.6129492243122684,94,14.44,166.6,54,7.5,0.4165284978257221,-0.19483061312694844,3.08,-0.4279320210630416,False
CA,116,415,-2966,no,yes,34,1.631035227835949,83,45.66,-0.44926127087960693,142,15.15,166.3,106,7.48,0.4881766016242988,-0.6011950896927301,3.13,0.3323544534588762,False
MN,74,510,-4773,no,yes,33,0.2556941338412353,91,32.93,0.889824516840602,96,20.92,138.0,92,6.21,1.562898158602953,-0.6011950896927301,3.94,0.3323544534588762,False
SD,149,408,-7828,no,yes,28,0.01698339656578444,92,30.72,-0.25993544522255196,64,15.96,265.5,53,11.95,0.8464171206171835,-0.6011950896927301,3.4,1.092640927980794,False
NC,38,408,-3722,no,no,0,-0.8919536415215092,98,22.3,-0.7509993055205373,97,13.85,159.0,106,7.15,-0.7298411629515094,0.6178983400046149,2.21,0.3323544534588762,False
WA,40,415,-7953,no,yes,41,-0.581629683063423,74,25.18,-0.6208378003813124,88,14.41,214.1,102,9.63,-1.4463222009372785,0.2115338634388332,1.67,0.3323544534588762,False
WY,43,415,-9518,yes,no,0,1.3170387964967016,105,42.76,0.2331005590926943,104,18.09,157.8,67,7.1,-0.3357765920593357,-0.19483061312694844,2.51,-1.1882184955849595,False
MN,113,408,-8646,yes,no,0,-1.0021278279563326,93,21.28,0.10688334198799117,119,17.54,129.3,139,5.82,-0.6940171110522204,1.430627293136178,2.24,-1.1882184955849595,False
UT,126,408,-9134,no,no,0,0.5843804567051255,70,35.97,0.3139584638003946,80,18.44,153.5,60,6.91,-0.873137370548663,-1.4139240428242934,2.11,-0.4279320210630416,False
TX,150,510,-7668,no,no,0,-0.01606885936466229,101,30.41,-0.6287263764503565,110,14.37,148.6,100,6.69,1.2763057434086456,-0.6011950896927301,3.73,1.852927402502712,True
NJ,138,408,-872,no,no,0,1.138923861760404,93,41.11,-0.6011163602087026,83,14.49,295.3,104,13.29,0.5598247054228761,1.0242628165703964,3.19,1.092640927980794,False
MN,162,510,-6757,no,yes,46,0.8285999033023177,97,38.23,-0.25204686915350843,84,16.0,254.6,61,11.46,0.6672968611207412,-1.0075595662585117,3.27,-1.1882184955849595,False
NM,147,510,-2520,no,no,0,1.2637879397198704,83,42.26,-1.0270994679370753,85,12.66,172.5,109,7.76,-0.801489266750086,-0.19483061312694844,2.16,1.092640927980794,False
NV,90,415,-3847,no,no,0,0.4338090685775336,146,34.58,0.5072285774919708,117,19.27,152.4,105,6.86,-1.0522576300451054,-0.19483061312694844,1.97,-0.4279320210630416,False
HI,85,415,-5527,no,no,0,1.0287496753255805,109,40.09,-0.8634115145044138,94,13.36,188.2,99,8.47,0.6314728092214528,-0.6011950896927301,3.24,-1.1882184955849595,False
MN,50,415,-8571,no,no,0,-0.4163684034111878,90,26.71,0.44017568090509773,72,18.98,181.4,111,8.16,-1.4821462528365672,-1.0075595662585117,1.65,-0.4279320210630416,False
DC,82,415,-4979,no,no,0,2.213122179499933,109,51.05,-0.3940412383962991,100,15.39,270.1,73,12.15,0.5240006535235872,-0.19483061312694844,3.16,-1.1882184955849595,True
NY,144,408,-811,no,no,0,-2.1699742041654617,117,10.47,-2.4430988723304625,85,6.55,173.0,99,7.79,-0.7298411629515094,1.0242628165703964,2.21,1.852927402502712,True
MN,46,415,-8532,no,no,0,0.6302863677196352,72,36.4,-0.7214171452616226,104,13.97,177.5,113,7.99,-0.7298411629515094,-0.6011950896927301,2.21,0.3323544534588762,False
MD,70,408,-1634,no,no,0,-0.17582142969515666,98,28.93,-0.9028543948496335,102,13.19,228.6,76,10.29,1.706194366200107,-1.0075595662585117,4.05,-0.4279320210630416,False
WV,144,415,-4223,no,no,0,0.39157563044418436,99,34.19,2.0218351827484073,74,25.8,224.0,119,10.08,1.0613614320129143,-1.0075595662585117,3.56,-0.4279320210630416,False
OR,116,415,-7094,yes,no,0,0.6541574414471806,104,36.62,0.07532903771181552,79,17.41,278.5,109,12.53,0.8464171206171835,0.2115338634388332,3.4,1.092640927980794,False
CO,55,408,-2218,no,yes,25,-0.26028830596185454,123,28.15,-1.2795339021464815,95,11.57,175.7,90,7.91,0.2732322902285681,-1.0075595662585117,2.97,1.092640927980794,False
GA,70,415,-1119,no,yes,24,1.280314067685094,101,42.42,1.158036103188096,98,22.07,222.7,68,10.02,-0.15665633256289332,-0.19483061312694844,2.65,-0.4279320210630416,False
TX,106,510,-2631,no,no,0,0.5660180922993215,96,35.8,0.9509609813756924,85,21.18,191.4,88,8.61,0.7747690168186069,-1.4139240428242934,3.35,0.3323544534588762,True
VT,128,510,-6053,no,yes,29,-0.00872391360234062,104,30.48,0.49145142535388325,86,19.2,323.0,78,14.54,-0.5865449553543554,1.0242628165703964,2.32,-1.1882184955849595,False
IN,94,408,-849,no,no,0,-0.40167851188654446,105,26.84,-0.9067986828841552,101,13.18,189.6,84,8.53,-0.801489266750086,0.2115338634388332,2.16,1.852927402502712,True
WV,111,510,-9585,no,no,0,0.6339588406007963,118,36.43,0.14829836635047175,76,17.72,182.4,98,8.21,0.6314728092214528,-1.0075595662585117,3.24,-0.4279320210630416,False
KY,74,415,-6956,no,yes,35,-0.47145549662859954,104,26.2,-1.5299961923386265,84,10.49,202.1,57,9.09,0.23740823832927976,1.8369917697019598,2.94,0.3323544534588762,False
NJ,128,415,-8737,no,no,0,1.0673106405777686,125,40.44,0.9194066770995167,93,21.05,208.9,68,9.4,1.3121297953079338,-0.19483061312694844,3.75,-0.4279320210630416,True
DC,82,510,-9370,no,no,0,-0.6587516135677992,61,24.46,-0.1199132199970221,105,16.57,109.6,94,4.93,0.30905634212785643,-1.0075595662585117,3.0,-0.4279320210630416,False
LA,155,415,-941,no,no,0,0.4338090685775336,100,34.58,-0.19879898068746152,104,16.23,196.0,119,8.82,-0.4790727996564897,-0.19483061312694844,2.4,-1.1882184955849595,True
AR,80,415,-4613,no,no,0,-1.0186539559215562,100,21.13,-0.5518127597771779,107,14.71,253.2,62,11.39,-0.8373133186493744,1.8369917697019598,2.13,-0.4279320210630416,False
ME,78,415,-9110,no,no,0,1.3427461066648272,93,42.99,-0.44531698284508464,112,15.16,263.9,105,11.88,-0.26412848826075896,1.0242628165703964,2.57,1.092640927980794,False
AZ,90,415,-5716,no,no,0,-0.012396386483501715,71,30.45,-0.20471541273924468,81,16.2,127.7,91,5.75,0.1299360826314141,1.0242628165703964,2.86,1.092640927980794,False
AK,104,408,-4101,no,no,0,1.8109863990128265,106,47.33,-2.366185255657284,113,6.89,163.2,137,7.34,-0.15665633256289332,0.2115338634388332,2.65,-0.4279320210630416,False
MT,73,415,-3080,no,no,0,-0.3612813101937761,110,27.22,0.24296127917899923,72,18.13,174.1,72,7.83,0.9897133282143376,-0.19483061312694844,3.51,-1.1882184955849595,False
AZ,99,415,-3627,no,no,0,0.3383247736673529,87,33.69,0.12463263814334015,76,17.62,190.9,113,8.59,-0.550720903455067,-0.6011950896927301,2.35,1.852927402502712,False
MS,120,408,-5936,no,no,0,0.5935616389080274,131,36.06,0.16604766250582073,104,17.8,167.2,96,7.52,-1.768738668030875,0.2115338634388332,1.43,-0.4279320210630416,True
ID,77,415,-9386,no,no,0,1.322547505818443,72,42.81,0.09307833386716394,126,17.48,275.2,109,12.38,-0.15665633256289332,1.0242628165703964,2.65,0.3323544534588762,True
IA,98,510,-6127,no,yes,21,-0.3410827093473919,114,27.4,1.010125301893522,83,21.44,160.2,92,7.21,-2.091155135124471,1.430627293136178,1.19,1.852927402502712,False
MA,108,415,-7394,no,no,0,-0.027086278008144532,137,30.31,-0.23626971701542035,76,16.07,129.1,102,5.81,1.562898158602953,0.2115338634388332,3.94,-1.1882184955849595,False
VT,135,415,-3429,no,no,0,-0.515525171202529,82,25.79,-1.6167705290981098,105,10.12,180.0,100,8.1,0.09411203073212573,0.6178983400046149,2.84,-1.1882184955849595,False
KY,95,408,-7193,no,no,0,-0.8221766567794542,99,22.95,-0.34276549394751366,106,15.61,245.3,102,11.04,0.8105930687178952,1.8369917697019598,3.38,-0.4279320210630416,False
IN,122,408,-4579,no,no,0,-0.17031272037341527,94,28.99,-0.5380077516563513,109,14.76,248.6,75,11.19,0.38070444592643377,-1.0075595662585117,3.05,-0.4279320210630416,False
AZ,95,408,-2243,no,no,0,1.0709831134589292,65,40.48,-0.2717683093261183,98,15.91,190.0,115,8.55,0.5598247054228761,-0.19483061312694844,3.19,1.852927402502712,False
MI,36,510,-3237,no,yes,29,1.8660734922302382,102,47.84,0.02405329326302946,76,17.19,187.2,113,8.42,-0.44324874775720136,0.6178983400046149,2.43,0.3323544534588762,False
NM,93,510,-3978,no,yes,21,-1.136173088118701,131,20.04,-0.7194450012443617,115,13.98,217.0,86,9.76,-0.15665633256289332,-0.6011950896927301,2.65,-0.4279320210630416,False
CO,141,415,-3935,no,yes,32,-0.5724485008605211,91,25.26,-1.3781411030095307,97,11.14,219.4,142,9.87,-0.049184176865028274,-1.4139240428242934,2.73,-0.4279320210630416,False
UT,157,408,-3895,no,no,0,0.918575488890757,90,39.07,-1.046820908109685,121,12.57,241.4,108,10.86,-0.22830443636147063,1.0242628165703964,2.59,1.092640927980794,False
MI,120,408,-3377,no,no,0,-0.2713057246053368,100,28.05,2.292018913113162,83,26.96,119.2,86,5.36,-0.6940171110522204,1.430627293136178,2.24,-0.4279320210630416,False
MA,103,415,-4360,no,no,0,0.09594156351074147,117,31.45,0.44017568090509773,94,18.98,222.8,91,10.03,0.8464171206171835,-1.0075595662585117,3.4,0.3323544534588762,False
AL,98,408,-1126,no,no,0,-0.34475518222855245,117,27.37,-0.19879898068746152,113,16.23,227.7,113,10.25,0.6672968611207412,-0.19483061312694844,3.27,1.852927402502712,False
DE,125,408,-9435,no,no,0,-0.9745842813476266,108,21.54,0.09899476591894711,90,17.51,247.8,114,11.15,1.0971854839122033,1.0242628165703964,3.59,-0.4279320210630416,False
AZ,63,415,-6628,no,no,0,-2.219552588061132,125,10.01,-0.6188656563640516,59,14.42,211.4,88,9.51,-0.29995254016004735,-0.6011950896927301,2.54,-0.4279320210630416,False
NJ,64,510,-4261,no,no,0,-0.31537539917926627,83,27.64,-0.9600465713502017,109,12.95,57.5,122,2.59,1.419601951005799,-0.6011950896927301,3.83,-0.4279320210630416,False
NV,74,415,-6482,no,no,0,1.886272093076623,114,48.03,0.37312278431822415,48,18.69,170.0,115,7.65,-0.29995254016004735,-0.19483061312694844,2.54,-0.4279320210630416,True
MO,112,510,-835,no,yes,36,-1.2132950186230775,117,19.33,-0.8574950824526306,82,13.39,177.6,118,7.99,-0.08500822876431662,-0.6011950896927301,2.7,0.3323544534588762,False
ID,97,408,-2938,no,no,0,1.1021991329487961,125,40.77,0.27254343943791404,111,18.26,143.3,81,6.45,-0.550720903455067,0.2115338634388332,2.35,0.3323544534588762,False
NE,46,408,-6720,no,no,0,0.5586731465369998,92,35.73,0.5190614415955371,77,19.32,200.1,116,9.0,1.0255373801136258,1.0242628165703964,3.54,-0.4279320210630416,False
TX,41,408,-7180,no,yes,22,0.6247776583978943,102,36.35,-1.167121693162605,86,12.05,142.2,123,6.4,-1.0880816819443937,-0.6011950896927301,1.94,-1.1882184955849595,False
MD,121,510,-5157,no,no,0,0.20060704062382356,103,32.42,-0.3447376379647745,117,15.6,220.8,103,9.94,-0.15665633256289332,-0.19483061312694844,2.65,1.092640927980794,False
MS,193,415,-4062,no,no,0,-0.1629677746110936,124,29.05,-1.3544753748023985,95,11.25,112.9,89,5.08,0.4881766016242988,-0.6011950896927301,3.13,-0.4279320210630416,False
NV,130,510,-3787,no,no,0,-0.46961926018801925,119,26.21,-1.7903192026170764,98,9.37,227.4,117,10.23,-0.37160064395862463,0.2115338634388332,2.48,0.3323544534588762,False
AZ,85,408,-4091,no,no,0,0.3970843397659258,52,34.24,0.5604764659580177,104,19.5,252.5,106,11.36,0.6314728092214528,-0.6011950896927301,3.24,-0.4279320210630416,False
MS,162,415,-4523,no,no,0,-2.0028766880726456,108,12.02,-0.8574950824526306,87,13.39,154.8,82,6.97,-0.407424695857913,-0.6011950896927301,2.46,1.852927402502712,True
MS,61,510,-8304,no,yes,27,0.14184747452525126,124,31.88,-1.0724587803340782,103,12.46,225.7,129,10.16,-1.3746740971387015,0.6178983400046149,1.73,1.852927402502712,True
TX,92,408,-5530,no,no,0,-1.6172670355507637,90,15.59,-0.14357894820415426,123,16.46,175.0,86,7.88,-0.37160064395862463,-0.19483061312694844,2.48,0.3323544534588762,False
NE,131,408,-4571,no,yes,36,0.6321226041602155,115,36.41,-0.7746650337276695,117,13.74,264.7,102,11.91,-0.26412848826075896,-0.19483061312694844,2.57,1.092640927980794,False
NE,90,415,-6517,no,no,0,-0.6293718305185131,92,24.74,0.32973561593848216,114,18.5,146.9,123,6.61,0.23740823832927976,-1.0075595662585117,2.94,1.092640927980794,False
CA,75,408,-2554,no,no,0,-0.24743465087779148,125,28.27,-0.843690074331804,86,13.45,256.7,80,11.55,-1.4821462528365672,0.2115338634388332,1.65,-0.4279320210630416,False
NJ,78,415,-5711,no,no,0,0.9406103261777214,115,39.27,0.5801979061306276,140,19.58,261.4,120,11.76,-0.26412848826075896,-0.6011950896927301,2.57,-0.4279320210630416,False
TX,82,408,-3046,no,no,0,0.3768857389195416,96,34.05,0.00433185309041961,102,17.1,206.1,60,9.27,-1.1239057338436824,-1.4139240428242934,1.92,1.852927402502712,False
AR,163,408,-5448,no,no,0,0.31628993638038844,109,33.49,0.03194186933207351,128,17.22,206.4,80,9.29,-0.407424695857913,2.243356246267741,2.46,-0.4279320210630416,False
AL,91,510,-2532,yes,no,0,-0.9158247152490541,112,22.08,-0.5458963277253948,83,14.73,247.2,130,11.12,0.34488039402714477,-0.6011950896927301,3.02,1.092640927980794,False
NY,75,415,-8151,no,yes,21,-0.07299218902265432,97,29.89,0.32579132790396037,106,18.49,237.5,134,10.69,-1.768738668030875,-0.19483061312694844,1.43,2.61321387702463,False
FL,91,510,-5213,no,no,0,0.4283003592557922,106,34.53,0.1798526706266474,113,17.86,195.6,129,8.8,0.6314728092214528,-0.6011950896927301,3.24,1.092640927980794,False
AK,127,510,-7892,no,yes,36,0.06288930758029422,117,31.14,-1.4629432957517532,76,10.78,263.3,71,11.85,0.34488039402714477,1.430627293136178,3.02,-0.4279320210630416,False
NV,113,415,-6268,no,yes,23,0.4631888516268197,101,34.85,-0.9659630034019848,60,12.92,158.6,59,7.14,-0.013360124965739932,0.2115338634388332,2.75,0.3323544534588762,False
DE,110,510,-2013,no,no,0,-0.5742847373011014,115,25.25,1.48738415407068,84,23.49,193.6,112,8.71,0.7747690168186069,-0.6011950896927301,3.35,-0.4279320210630416,False
MD,120,415,-3160,no,yes,39,0.3768857389195416,68,34.05,0.38298350440452905,97,18.73,253.8,116,11.42,0.09411203073212573,-0.19483061312694844,2.84,-1.1882184955849595,False
MI,157,415,-4375,no,yes,28,0.23549553299485113,107,32.74,-0.10808035589345631,74,16.62,109.7,139,4.94,-1.2313778895415477,0.2115338634388332,1.84,1.092640927980794,False
VT,103,510,-2415,no,no,0,1.2252269744676823,47,41.91,-0.10808035589345631,84,16.62,200.5,96,9.02,0.5240006535235872,-0.19483061312694844,3.16,-0.4279320210630416,False
VT,117,408,-2000,yes,no,0,-0.23274475935314867,86,28.41,-0.4630662790004336,87,15.09,249.4,132,11.22,1.3837778991065106,1.0242628165703964,3.81,0.3323544534588762,True
MI,140,415,-8678,no,no,0,0.9571364541429451,101,39.42,-0.8062193380038452,94,13.61,110.4,98,4.97,1.4554260029050878,0.6178983400046149,3.86,1.092640927980794,False
WA,127,408,-6895,no,no,0,-0.6073369932315487,91,24.94,0.049691165487422494,78,17.3,203.4,110,9.15,1.2404816915093566,-0.6011950896927301,3.7,-0.4279320210630416,False
UT,83,408,-3181,yes,no,0,1.68428608461278,87,46.16,0.3021255996968288,126,18.39,121.1,105,5.45,0.5240006535235872,-0.19483061312694844,3.16,-0.4279320210630416,False
LA,121,408,-8370,no,no,0,0.03167328809042778,121,30.86,0.34354062405930935,98,18.56,161.6,103,7.27,-0.6223690072536437,0.2115338634388332,2.3,-0.4279320210630416,False
RI,145,408,-6364,no,yes,43,1.4308854558126858,97,43.81,-0.7667764576586255,95,13.78,286.9,86,12.91,0.30905634212785643,-0.19483061312694844,3.0,0.3323544534588762,False
IA,113,408,-4890,no,no,0,0.25753037028181613,99,32.95,0.4027049445771389,125,18.82,172.3,67,7.75,0.1299360826314141,0.6178983400046149,2.86,-0.4279320210630416,False
NE,117,415,-3082,no,no,0,-1.4134447906463403,119,17.48,0.11279977403977379,91,17.57,299.0,105,13.46,-0.049184176865028274,1.0242628165703964,2.73,-0.4279320210630416,False
OH,65,408,-7264,no,no,0,0.14919242028757293,116,31.94,-0.8555229384353698,117,13.4,227.3,86,10.23,-0.9806095262465284,0.6178983400046149,2.03,-0.4279320210630416,False
